lambdau,glmnet - x1,glmnet - x2,glmnet - x3,glmnet - df,x1,x2,x3,df
3.757032166,0,0,0,0,0,0,5.33E-15,1
2.966749042,0,1.04931422,-3.060778249,2,0,-0.9388811736,1.169533809,2
2.342700165,0,1.875228955,-6.043563054,2,0,-1.85573769,2.088527287,2
1.849918543,0,2.527414414,-8.398925897,2,0,-2.579735613,2.814212586,2
1.460792408,0,3.042414154,-10.25884355,2,0,-3.151442228,3.387251642,2
1.153518066,0,3.449084876,-11.72753178,2,0,-3.602891664,3.839753243,2
0.9108781784,0,3.770213341,-12.8872848,2,0,-3.968580801,4.196834542,2
0.7192770366,0.01309377765,4.023914479,-13.80240342,3,0,-4.24815313,4.479042073,3
0.5679787568,0.6630033848,4.230175622,-14.49166633,3,0.2011296395,-4.454900246,4.711114918,3
0.4485057242,1.176206031,4.393050205,-15.03594436,3,0.3780638644,-4.616659069,4.895208791,3
0.3541635708,1.581457674,4.521664492,-15.46573475,3,0.5179225092,-4.744360823,5.040586016,3
0.2796660736,1.901465561,4.623225059,-15.80511972,3,0.6283647266,-4.845200448,5.155383594,3
0.2208389546,2.154160521,4.703422592,-16.07311583,3,0.7155757065,-4.924828683,5.246033766,3
0.1743859855,2.353701674,4.766750757,-16.28473958,3,0.7844420567,-4.987707301,5.317615881,3
0.1377042922,2.511269801,4.816757988,-16.45184875,3,0.8388225276,-5.037359546,5.374140862,3
0.1087385093,2.635693833,4.856246312,-16.58380689,3,0.8817641908,-5.076567554,5.418775943,3
0.08586561252,2.733942066,4.887428324,-16.68800835,3,0.9156731734,-5.107528248,5.454022136,3
0.06780397729,2.811527497,4.912051305,-16.77029086,3,0.942449479,-5.13197643,5.481854374,3
0.05354156572,2.872793009,4.931494898,-16.83526543,3,0.96359345,-5.151281993,5.503832163,3
0.04227921981,2.921171462,4.946848575,-16.88657275,3,0.980289835,-5.166526675,5.521186975,3
0.03338588261,2.959373617,4.958972642,-16.92708769,3,0.9934741736,-5.178564673,5.534891242,3
0.02636323855,2.989540036,4.968546439,-16.95908041,3,1.003885217,-5.188070506,5.545712848,3
0.02081779161,3.013361018,4.976106409,-16.98434353,3,1.012106321,-5.195576809,5.554258154,3
0.01643881675,3.032171311,4.982076157,-17.00429261,3,1.018598134,-5.201504178,5.561005974,3
0.01298094924,3.047024902,4.986790183,-17.02004545,3,1.02372441,-5.206184738,5.566334406,3
0.01025043626,3.058754074,4.990512624,-17.03248472,3,1.027772385,-5.209880753,5.570542014,3
